mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time,hop
fig14_hencky.obj,4,1,random,4,344,0.256066,13215,10
fig14_hencky.obj,4,1,random,5,40,0.256066,13221,10
fig14_hencky.obj,4,1,random,6,3,0.256066,13233,10
fig14_hencky.obj,4,1,random,7,0,0.256066,13184,10
fig14_hencky.obj,4,1,heuristic,0,10,0.256168,-1,10
fig14_hencky.obj,4,1,heuristic,1,63772,0.256096,13337,10
fig14_hencky.obj,4,1,heuristic,2,21373,0.256075,13069,10
fig14_hencky.obj,4,1,heuristic,3,7840,0.256069,13049,10
fig14_hencky.obj,4,1,heuristic,4,2484,0.256067,13056,10
fig14_hencky.obj,4,1,heuristic,5,712,0.256066,13045,10
fig14_hencky.obj,4,1,heuristic,6,210,0.256066,13061,10
fig14_hencky.obj,4,1,heuristic,7,46,0.256066,13025,10
fig14_hencky.obj,4,1,heuristic,8,15,0.256066,13066,10
fig14_hencky.obj,4,1,heuristic,9,3,0.256066,13077,10
fig14_hencky.obj,4,1,heuristic,10,3,0.256066,13045,10
fig14_hencky.obj,4,1,heuristic,11,2,0.256066,13078,10
fig14_hencky.obj,4,1,heuristic,12,0,0.256066,13057,10
fig14_hencky.obj,3,1,edge order,0,-1,0.000193335,-1,-1
fig14_hencky.obj,3,1,edge order,1,79216,0.000193325,9225,-1
fig14_hencky.obj,3,1,edge order,2,17443,0.000193324,9663,-1
fig14_hencky.obj,3,1,edge order,3,1956,0.000193324,9744,-1
fig14_hencky.obj,3,1,edge order,4,119,0.000193324,9778,-1
fig14_hencky.obj,3,1,edge order,5,4,0.000193324,9742,-1
fig14_hencky.obj,3,1,edge order,6,0,0.000193324,9779,-1
fig14_hencky.obj,3,1,greedy,0,-1,0.000193335,-1,-1
fig14_hencky.obj,3,1,greedy,1,63036,0.000193328,9808,-1
fig14_hencky.obj,3,1,greedy,2,23503,0.000193325,9782,-1
fig14_hencky.obj,3,1,greedy,3,8716,0.000193324,9822,-1
fig14_hencky.obj,3,1,greedy,4,2718,0.000193324,9795,-1
fig14_hencky.obj,3,1,greedy,5,798,0.000193324,9823,-1
fig14_hencky.obj,3,1,greedy,6,211,0.000193324,9810,-1
fig14_hencky.obj,3,1,greedy,7,57,0.000193324,9851,-1
fig14_hencky.obj,3,1,greedy,8,13,0.000193324,9811,-1
fig14_hencky.obj,3,1,greedy,9,4,0.000193324,9831,-1
