mesh_name,type,is_free_boundary,flipping_order,iteration,is_flip,int_energy,ext_energy,conformal_min,conformal_max,isometric_min,conformal_min_int,conformal_max_int,isometric_min_int,isometric_max,auhalic_min,authalic_max,isometric_max_int,auhalic_min_int,authalic_max_int,ext_flip_percentage,ext_max_area_dist,ext_avg_area_err,ext_max_angle_dist,ext_avg_angle_error,int_flip_percentage,int_max_area_dist,int_avg_area_err,int_max_angle_dist,int_avg_angle_error,time
fig14_hencky.obj,3,0,greedy,25,0,1.00079,1.01268,0.00195381,10.5965,0.276682,0.00128622,6.85058,0.34483,6.43342,0.00175827,27.9384,3.49512,0.000157208,43.6628,0.289917,11.461,430.98,222944,665.665,0.291897,-1.99587,430.98,492801,28564.7,105849
fig14_hencky.obj,3,0,greedy,26,1,1.00079,1.01268,0.00195381,10.5965,0.276682,1.86698e-07,1.4077,0.999865,6.43342,0.00175827,27.9384,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00337034,39.6573,288.283,11434.7,1119.09,58980
fig14_hencky.obj,3,0,greedy,27,0,1.00071,1.01259,0.00191578,10.7833,0.288336,0.000715374,6.84914,0.367146,6.56514,0.000869566,28.0134,3.49486,1.65917e-07,43.6515,0.289745,11.5293,430.982,1.23551e+06,665.805,0.291617,-1.99596,430.982,118371,28569.4,108380
fig14_hencky.obj,3,0,greedy,28,1,1.00071,1.01259,0.00191578,10.7833,0.288336,1.86698e-07,1.4077,0.999865,6.56514,0.000869566,28.0134,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00338384,39.6573,288.283,11434.7,1119.22,55282
fig14_hencky.obj,3,0,greedy,29,0,1.00065,1.01251,0.00108406,10.9664,0.300334,0.000193512,6.84655,0.393563,6.69424,0.00028079,28.6148,3.49396,0.000350489,43.6105,0.28963,11.6279,430.982,118687,665.929,0.291341,-1.99606,430.982,94836.4,28569.7,111866
fig14_hencky.obj,3,0,greedy,30,1,1.00065,1.01251,0.00108406,10.9664,0.300334,1.86698e-07,1.4077,0.999865,6.69424,0.00028079,28.6148,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00339059,39.6573,288.283,11434.7,1119.13,58127
fig14_hencky.obj,3,0,greedy,31,0,1.00059,1.01244,0.00133736,11.1502,0.298722,0.000413709,6.84336,0.390893,6.82386,6.3909e-05,28.279,3.49282,0.00206185,43.5584,0.289424,11.7416,430.983,111993,666.029,0.291071,-1.99616,430.983,82531.4,28565.9,113155
fig14_hencky.obj,3,0,greedy,32,1,1.00059,1.01244,0.00133736,11.1502,0.298722,1.86698e-07,1.4077,0.999865,6.82386,6.3909e-05,28.279,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00340408,39.6573,288.283,11434.7,1119.5,44465
fig14_hencky.obj,3,0,greedy,33,0,1.00054,1.01238,0.00107192,11.3338,0.296299,0.000941545,6.8406,0.388587,6.95338,3.63778e-06,27.9581,3.49171,0.00453615,43.5074,0.289293,11.8562,430.984,1.08321e+06,666.134,0.290855,-1.99628,430.984,105869,28561.8,102872
fig14_hencky.obj,3,0,greedy,34,1,1.00054,1.01238,0.00107192,11.3338,0.296299,1.86698e-07,1.4077,0.999865,6.95338,3.63778e-06,27.9581,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00341083,39.6573,288.283,11434.7,1119.47,45840
fig14_hencky.obj,3,0,greedy,35,0,1.00049,1.01232,0.000834133,11.5318,0.294473,0.0014564,6.8372,0.388654,7.09348,2.07873e-07,27.6895,3.4903,0.00991151,43.4423,0.289182,11.9661,430.984,205981,666.219,0.290619,-1.99639,430.984,86579.8,28555.7,104322
fig14_hencky.obj,3,0,greedy,36,1,1.00049,1.01232,0.000834133,11.5318,0.294473,1.86698e-07,1.4077,0.999865,7.09348,2.07873e-07,27.6895,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00340745,39.6573,288.283,11434.7,1119.63,44417
fig14_hencky.obj,3,0,greedy,37,0,1.00045,1.01228,0.000640921,11.7425,0.293192,0.00195808,6.8332,0.389386,7.24232,1.0155e-05,27.4777,3.48858,0.0115192,43.3634,0.288989,12.0684,430.984,387947,666.296,0.29047,-1.99652,430.984,387947,28552.8,100665
fig14_hencky.obj,3,0,greedy,38,1,1.00045,1.01228,0.000640921,11.7425,0.293192,1.86698e-07,1.4077,0.999865,7.24232,1.0155e-05,27.4777,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00341758,39.6573,288.283,11434.7,1119.73,43641
fig14_hencky.obj,3,0,greedy,39,0,1.00041,1.01223,0.000526569,11.9605,0.292385,0.00244403,6.82906,0.384737,7.39611,3.54145e-05,27.3148,3.48676,0.00336181,43.28,0.288959,12.1635,430.985,46672.1,666.366,0.290237,-1.99668,430.985,225042,28550.9,107507
fig14_hencky.obj,3,0,greedy,40,1,1.00041,1.01223,0.000526569,11.9605,0.292385,1.86698e-07,1.4077,0.999865,7.39611,3.54145e-05,27.3148,1.41406,0.990692,1.00668,0,4.05277,288.283,6868.53,20.3507,0.00342095,39.6573,288.283,11434.7,1119.7,49244
