mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time
fig14_hencky.obj,4,0,greedy,2,17030,1.0015,15906
fig14_hencky.obj,4,0,greedy,3,4939,1.00149,11902
fig14_hencky.obj,4,0,greedy,4,1521,1.00148,11943
fig14_hencky.obj,4,0,greedy,5,446,1.00148,11244
fig14_hencky.obj,4,0,greedy,6,122,1.00148,11151
fig14_hencky.obj,4,0,greedy,7,41,1.00148,11107
fig14_hencky.obj,4,0,greedy,8,16,1.00148,11169
fig14_hencky.obj,4,0,greedy,9,3,1.00148,11175
fig14_hencky.obj,4,0,greedy,10,0,1.00148,11152
fig14_hencky.obj,4,0,random,1,73136,1.00154,11880
fig14_hencky.obj,4,0,random,2,11339,1.0015,11464
fig14_hencky.obj,4,0,random,3,1813,1.00149,11360
fig14_hencky.obj,4,0,random,4,283,1.00149,11346
fig14_hencky.obj,4,0,random,5,47,1.00149,11349
fig14_hencky.obj,4,0,random,6,7,1.00149,11335
fig14_hencky.obj,4,0,random,7,0,1.00149,11358
fig14_hencky.obj,4,0,heuristic,1,62834,1.00158,13211
fig14_hencky.obj,4,0,heuristic,2,17030,1.0015,11819
fig14_hencky.obj,4,0,heuristic,3,4939,1.00149,11440
fig14_hencky.obj,4,0,heuristic,4,1521,1.00148,11328
fig14_hencky.obj,4,0,heuristic,5,446,1.00148,11326
fig14_hencky.obj,4,0,heuristic,6,122,1.00148,11312
fig14_hencky.obj,4,0,heuristic,7,41,1.00148,11327
fig14_hencky.obj,4,0,heuristic,8,16,1.00148,11322
fig14_hencky.obj,4,0,heuristic,9,3,1.00148,11320
fig14_hencky.obj,4,0,heuristic,10,0,1.00148,11329
fig14_hencky.obj,4,0,start,0,10,1.00046,-1
fig14_hencky.obj,4,0,edge order,1,55379,1.00035,11481
fig14_hencky.obj,4,0,edge order,2,6422,1.00034,11058
fig14_hencky.obj,4,0,edge order,3,405,1.00034,11018
fig14_hencky.obj,4,0,edge order,4,22,1.00034,11054
fig14_hencky.obj,4,0,edge order,5,0,1.00034,11010
fig14_hencky.obj,4,0,greedy,1,49753,1.00035,12747
fig14_hencky.obj,4,0,greedy,2,9625,1.00034,11451
fig14_hencky.obj,4,0,greedy,3,2032,1.00034,11164
fig14_hencky.obj,4,0,greedy,4,486,1.00034,11086
fig14_hencky.obj,4,0,greedy,5,100,1.00034,11117
fig14_hencky.obj,4,0,greedy,6,17,1.00034,11098
fig14_hencky.obj,4,0,greedy,7,1,1.00034,11105
fig14_hencky.obj,4,0,greedy,8,0,1.00034,11086
fig14_hencky.obj,4,0,random,1,55144,1.00035,11788
fig14_hencky.obj,4,0,random,2,5739,1.00034,11374
fig14_hencky.obj,4,0,random,3,618,1.00034,11346
fig14_hencky.obj,4,0,random,4,48,1.00034,11341
fig14_hencky.obj,4,0,random,5,5,1.00034,11372
fig14_hencky.obj,4,0,random,6,1,1.00034,11328
fig14_hencky.obj,4,0,random,7,0,1.00034,11336
fig14_hencky.obj,4,0,heuristic,1,49753,1.00035,12949
fig14_hencky.obj,4,0,heuristic,2,9625,1.00034,11623
fig14_hencky.obj,4,0,heuristic,3,2032,1.00034,11305
fig14_hencky.obj,4,0,heuristic,4,486,1.00034,11315
fig14_hencky.obj,4,0,heuristic,5,100,1.00034,11297
fig14_hencky.obj,4,0,heuristic,6,17,1.00034,11305
fig14_hencky.obj,4,0,heuristic,7,1,1.00034,11291
fig14_hencky.obj,4,0,heuristic,8,0,1.00034,11284
fig14_hencky.obj,4,1,start,0,1,0.256277,-1
fig14_hencky.obj,4,1,edge order,1,82160,0.256167,12310
fig14_hencky.obj,4,1,edge order,2,17752,0.256153,12764
fig14_hencky.obj,4,1,edge order,3,2216,0.256151,12840
fig14_hencky.obj,4,1,edge order,4,197,0.256151,12845
fig14_hencky.obj,4,1,edge order,5,13,0.256151,12833
fig14_hencky.obj,4,1,edge order,6,0,0.256151,12859
fig14_hencky.obj,4,1,greedy,1,66468,0.256189,13169
fig14_hencky.obj,4,1,greedy,2,23067,0.256162,12910
fig14_hencky.obj,4,1,greedy,3,8733,0.256155,12904
fig14_hencky.obj,4,1,greedy,4,2947,0.256152,12937
fig14_hencky.obj,4,1,greedy,5,991,0.256151,12948
fig14_hencky.obj,4,1,greedy,6,324,0.256151,12893
fig14_hencky.obj,4,1,greedy,7,103,0.256151,12883
fig14_hencky.obj,4,1,greedy,8,29,0.256151,12909
fig14_hencky.obj,4,1,greedy,9,7,0.256151,12907
fig14_hencky.obj,4,1,greedy,10,1,0.256151,12910
fig14_hencky.obj,4,1,greedy,11,0,0.256151,12913
fig14_hencky.obj,4,1,random,1,81912,0.256168,12755
fig14_hencky.obj,4,1,random,2,17138,0.256154,13157
fig14_hencky.obj,4,1,random,3,3013,0.256152,13255
fig14_hencky.obj,4,1,random,4,439,0.256151,13254
fig14_hencky.obj,4,1,random,5,68,0.256151,13270
fig14_hencky.obj,4,1,random,6,10,0.256151,13234
fig14_hencky.obj,4,1,random,7,0,0.256151,13220
fig14_hencky.obj,4,1,heuristic,1,66468,0.256189,13367
fig14_hencky.obj,4,1,heuristic,2,23067,0.256162,13157
fig14_hencky.obj,4,1,heuristic,3,8733,0.256155,13103
fig14_hencky.obj,4,1,heuristic,4,2947,0.256152,13094
fig14_hencky.obj,4,1,heuristic,5,991,0.256151,13117
fig14_hencky.obj,4,1,heuristic,6,324,0.256151,13111
fig14_hencky.obj,4,1,heuristic,7,103,0.256151,13074
fig14_hencky.obj,4,1,heuristic,8,29,0.256151,13100
fig14_hencky.obj,4,1,heuristic,9,7,0.256151,13132
fig14_hencky.obj,4,1,heuristic,10,1,0.256151,13100
fig14_hencky.obj,4,1,heuristic,11,0,0.256151,13083
fig14_hencky.obj,4,1,start,0,3,0.256184,-1
fig14_hencky.obj,4,1,edge order,1,79780,0.25609,12285
fig14_hencky.obj,4,1,edge order,2,16795,0.256077,12712
fig14_hencky.obj,4,1,edge order,3,1975,0.256076,12811
fig14_hencky.obj,4,1,edge order,4,134,0.256076,12835
fig14_hencky.obj,4,1,edge order,5,6,0.256076,12837
fig14_hencky.obj,4,1,edge order,6,0,0.256076,12836
fig14_hencky.obj,4,1,greedy,1,64856,0.256108,13197
fig14_hencky.obj,4,1,greedy,2,22079,0.256085,12907
fig14_hencky.obj,4,1,greedy,3,8224,0.256079,12899
fig14_hencky.obj,4,1,greedy,4,2637,0.256077,12894
fig14_hencky.obj,4,1,greedy,5,763,0.256076,12909
fig14_hencky.obj,4,1,greedy,6,215,0.256076,12886
fig14_hencky.obj,4,1,greedy,7,52,0.256076,12863
fig14_hencky.obj,4,1,greedy,8,12,0.256076,12870
fig14_hencky.obj,4,1,greedy,9,4,0.256076,12883
fig14_hencky.obj,4,1,greedy,10,3,0.256076,12886
fig14_hencky.obj,4,1,greedy,11,2,0.256076,12854
fig14_hencky.obj,4,1,greedy,12,0,0.256076,12880
fig14_hencky.obj,4,1,random,1,79391,0.256091,12737
fig14_hencky.obj,4,1,random,2,16403,0.256078,13125
fig14_hencky.obj,4,1,random,3,2671,0.256076,13217
fig14_hencky.obj,4,1,random,4,339,0.256076,13199
fig14_hencky.obj,4,1,random,5,35,0.256076,13209
fig14_hencky.obj,4,1,random,6,3,0.256076,13238
fig14_hencky.obj,4,1,random,7,1,0.256076,13204
fig14_hencky.obj,4,1,random,8,0,0.256076,13195
fig14_hencky.obj,4,1,heuristic,1,64856,0.256108,13372
fig14_hencky.obj,4,1,heuristic,2,22079,0.256085,13096
fig14_hencky.obj,4,1,heuristic,3,8224,0.256079,13073
fig14_hencky.obj,4,1,heuristic,4,2637,0.256077,13088
fig14_hencky.obj,4,1,heuristic,5,763,0.256076,13129
fig14_hencky.obj,4,1,heuristic,6,215,0.256076,13115
fig14_hencky.obj,4,1,heuristic,7,52,0.256076,13103
fig14_hencky.obj,4,1,heuristic,8,12,0.256076,13079
fig14_hencky.obj,4,1,heuristic,9,4,0.256076,13066
fig14_hencky.obj,4,1,heuristic,10,3,0.256076,13080
fig14_hencky.obj,4,1,heuristic,11,2,0.256076,13090
fig14_hencky.obj,4,1,heuristic,12,0,0.256076,13068
fig14_hencky.obj,4,1,start,0,10,0.256168,-1
fig14_hencky.obj,4,1,edge order,1,78082,0.256079,12281
fig14_hencky.obj,4,1,edge order,2,16241,0.256067,12741
fig14_hencky.obj,4,1,edge order,3,1864,0.256066,12783
fig14_hencky.obj,4,1,edge order,4,122,0.256066,12796
fig14_hencky.obj,4,1,edge order,5,6,0.256066,12800
fig14_hencky.obj,4,1,edge order,6,0,0.256066,12793
fig14_hencky.obj,4,1,greedy,1,63772,0.256096,13170
fig14_hencky.obj,4,1,greedy,2,21373,0.256075,12893
fig14_hencky.obj,4,1,greedy,3,7840,0.256069,12869
fig14_hencky.obj,4,1,greedy,4,2484,0.256067,12889
fig14_hencky.obj,4,1,greedy,5,712,0.256066,12868
fig14_hencky.obj,4,1,greedy,6,210,0.256066,12888
fig14_hencky.obj,4,1,greedy,7,46,0.256066,12875
fig14_hencky.obj,4,1,greedy,8,15,0.256066,12887
fig14_hencky.obj,4,1,greedy,9,3,0.256066,12860
fig14_hencky.obj,4,1,greedy,10,3,0.256066,12872
fig14_hencky.obj,4,1,greedy,11,2,0.256066,12862
fig14_hencky.obj,4,1,greedy,12,0,0.256066,12879
fig14_hencky.obj,4,1,random,1,77813,0.25608,12736
fig14_hencky.obj,4,1,random,2,15751,0.256068,13112
fig14_hencky.obj,4,1,random,3,2519,0.256066,13224
fig14_hencky.obj,4,1,random,4,344,0.256066,13215
fig14_hencky.obj,4,1,random,5,40,0.256066,13221
fig14_hencky.obj,4,1,random,6,3,0.256066,13233
fig14_hencky.obj,4,1,random,7,0,0.256066,13184
fig14_hencky.obj,4,1,heuristic,1,63772,0.256096,13337
fig14_hencky.obj,4,1,heuristic,2,21373,0.256075,13069
fig14_hencky.obj,4,1,heuristic,3,7840,0.256069,13049
fig14_hencky.obj,4,1,heuristic,4,2484,0.256067,13056
fig14_hencky.obj,4,1,heuristic,5,712,0.256066,13045
fig14_hencky.obj,4,1,heuristic,6,210,0.256066,13061
fig14_hencky.obj,4,1,heuristic,7,46,0.256066,13025
fig14_hencky.obj,4,1,heuristic,8,15,0.256066,13066
fig14_hencky.obj,4,1,heuristic,9,3,0.256066,13077
fig14_hencky.obj,4,1,heuristic,10,3,0.256066,13045
fig14_hencky.obj,4,1,heuristic,11,2,0.256066,13078
fig14_hencky.obj,4,1,heuristic,12,0,0.256066,13057
fig14_hencky.obj,3,1,start,0,-1,0.000193335,-1
fig14_hencky.obj,3,1,edge order,1,79216,0.000193325,9225
fig14_hencky.obj,3,1,edge order,2,17443,0.000193324,9663
fig14_hencky.obj,3,1,edge order,3,1956,0.000193324,9744
fig14_hencky.obj,3,1,edge order,4,119,0.000193324,9778
fig14_hencky.obj,3,1,edge order,5,4,0.000193324,9742
fig14_hencky.obj,3,1,edge order,6,0,0.000193324,9779
fig14_hencky.obj,3,1,greedy,1,63036,0.000193328,9808
fig14_hencky.obj,3,1,greedy,2,23503,0.000193325,9782
fig14_hencky.obj,3,1,greedy,3,8716,0.000193324,9822
fig14_hencky.obj,3,1,greedy,4,2718,0.000193324,9795
fig14_hencky.obj,3,1,greedy,5,798,0.000193324,9823
fig14_hencky.obj,3,1,greedy,6,211,0.000193324,9810
fig14_hencky.obj,3,1,greedy,7,57,0.000193324,9851
fig14_hencky.obj,3,1,greedy,8,13,0.000193324,9811
fig14_hencky.obj,3,1,greedy,9,4,0.000193324,9831
fig14_hencky.obj,3,1,greedy,10,1,0.000193324,9831
fig14_hencky.obj,3,1,greedy,11,0,0.000193324,9832
fig14_hencky.obj,3,1,random,1,78859,0.000193325,9548
fig14_hencky.obj,3,1,random,2,17283,0.000193324,10025
fig14_hencky.obj,3,1,random,3,2589,0.000193324,10079
fig14_hencky.obj,3,1,random,4,274,0.000193324,10107
fig14_hencky.obj,3,1,random,5,26,0.000193324,10149
fig14_hencky.obj,3,1,random,6,0,0.000193324,10114
fig14_hencky.obj,3,1,heuristic,1,63036,0.000193328,10001
fig14_hencky.obj,3,1,heuristic,2,23503,0.000193325,9997
fig14_hencky.obj,3,1,heuristic,3,8716,0.000193324,10017
fig14_hencky.obj,3,1,heuristic,4,2718,0.000193324,10019
fig14_hencky.obj,3,1,heuristic,5,798,0.000193324,10000
fig14_hencky.obj,3,1,heuristic,6,211,0.000193324,9995
fig14_hencky.obj,3,1,heuristic,7,57,0.000193324,10017
fig14_hencky.obj,3,1,heuristic,8,13,0.000193324,10044
fig14_hencky.obj,3,1,heuristic,9,4,0.000193324,10020
fig14_hencky.obj,3,1,heuristic,10,1,0.000193324,10008
fig14_hencky.obj,3,1,heuristic,11,0,0.000193324,10020
fig9.obj,2,0,start,0,-1,6.93543,-1
fig9.obj,2,0,edge order,1,51408,6.93468,5898
fig9.obj,2,0,edge order,2,11628,6.93455,6209
fig9.obj,2,0,edge order,3,1330,6.93454,6239
fig9.obj,2,0,edge order,4,91,6.93454,6260
fig9.obj,2,0,edge order,5,2,6.93454,6240
fig9.obj,2,0,edge order,6,0,6.93454,6266
fig9.obj,2,0,greedy,1,40875,6.93482,6336
fig9.obj,2,0,greedy,2,15394,6.93464,6266
fig9.obj,2,0,greedy,3,5763,6.93458,6321
fig9.obj,2,0,greedy,4,1846,6.93455,6287
fig9.obj,2,0,greedy,5,551,6.93454,6278
fig9.obj,2,0,greedy,6,142,6.93454,6307
fig9.obj,2,0,greedy,7,42,6.93454,6272
fig9.obj,2,0,greedy,8,12,6.93454,6274
fig9.obj,2,0,greedy,9,3,6.93454,6307
fig9.obj,2,0,greedy,10,1,6.93454,6349
fig9.obj,2,0,greedy,11,1,6.93454,6286
fig9.obj,2,0,greedy,12,0,6.93454,6313
fig9.obj,2,0,random,1,51301,6.93467,6085
fig9.obj,2,0,random,2,11252,6.93456,6363
fig9.obj,2,0,random,3,1822,6.93454,6444
fig9.obj,2,0,random,4,180,6.93454,6438
fig9.obj,2,0,random,5,11,6.93454,6481
fig9.obj,2,0,random,6,0,6.93454,6447
fig9.obj,2,0,heuristic,1,40875,6.93482,6445
fig9.obj,2,0,heuristic,2,15394,6.93464,6356
fig9.obj,2,0,heuristic,3,5763,6.93458,6399
fig9.obj,2,0,heuristic,4,1846,6.93455,6390
fig9.obj,2,0,heuristic,5,551,6.93454,6406
